KPI ID,Sector,Sub-sector,SP/EF,Indicator Name,Definition,Disaggregation,Unit of measurement,Type of measurement
17,WASH,WASH in emergencies,SP 3 -Health and wellbeing,Number of target communities / sites with RCRC WASH assessments conducted at least once.,"WASH Assessments: Systematic evaluations to determine the state of water, sanitation, and hygiene in the target communities or sites. These assessments identify needs, existing gaps, and opportunities for improvement.",,Communities,Number
18,WASH,WASH in emergencies,SP 3 -Health and wellbeing,Number of WASH assessments conducted by RCRC.,"WASH Assessments: Comprehensive evaluations that determine the state of water, sanitation, and hygiene in communities or facilities. These assessments identify needs, existing gaps, and opportunities for intervention by the RCRC.",,Metrics,Number
22,WASH,WASH in emergencies,SP 3 -Health and wellbeing,Number of communities / sites reached by RCRC with WASH actions in emergency response.,"Communities/sites: If informal, these are discrete continuous sites which require travel between them. If formally recognised, then they are identified as such by name or number by administrative authorities and should be the lowest in the administrative hierarchy (such as village, commune, camp zone). WASH actions in emergency include the following. Water: Provision of safe drinking water through distribution, installation of water points, and water purification systems. Sanitation: Construction or rehabilitation of emergency latrines, waste management systems, and sanitation facilities. Hygiene: Distribution of hygiene kits, promotion of hygiene practices, and provision of handwashing facilities.",,Communities,Number
25,WASH,WASH in emergencies,SP 3 -Health and wellbeing,Percentage of households that have access to sufficient safe water which meets Sphere and WHO standards in terms of quantity and quality in the response period.,"Numerator: Number of households with sufficient safe water. Denominator: Total number of households surveyed. Sufficient safe water: Water that is safe for drinking, cooking, and personal hygiene, meeting the following specific quantity and quality standards. Quantity: Sphere standards recommend a minimum of 15 liters per person per day. WHO standards also align with ensuring sufficient water for basic needs. Quality: Water free from pathogens, harmful chemicals, and radiological hazards. It should be tested and meet WHO guidelines for drinking water quality.",Response/recovery phase.,Households,Percentage
27,WASH,WASH in emergencies,SP 3 -Health and wellbeing,Percentage of households in target community/site which store their drinking water in a safe container.,"Numerator: Number of households using safe containers. Denominator: Total number of households surveyed. Safe storage container: has a single small (5–8 cm) opening that has a cover or can be closed tightly; has a narrow neck or opening/tap so water can be poured out without hands or objects entering the container; made of food-grade plastic, ceramic, or metal that do not leach harmful substances into the water; easy to clean and maintain; ideally can hold a standard volume of water (20 liters) and has a comfortable handle for easy carrying.",,Households,Percentage
28,WASH,WASH in emergencies,SP 3 -Health and wellbeing,Number of people who have been provided with an improved protected source of drinking water by RCRC.,"Improved Protected Source of Drinking Water: Water sources that are designed to protect from outside contamination and provide safe, clean drinking water. Examples include the following. Piped water systems: Water delivered through a network of pipes directly to homes or communal points. Boreholes or tubewells: Deep wells drilled into the ground to access groundwater, equipped with pumps to bring water to the surface. Protected springs: Natural springs that have been enclosed to prevent contamination. Rainwater harvesting systems: Systems that collect and store rainwater for drinking purposes. Protected dug wells: Shallow wells with protective covers to prevent contamination.",,People,Number
30,WASH,WASH in emergencies,SP 3 -Health and wellbeing,Average number of litres of safe water distributed per person per day.,"The average number of litres of safe water distributed per person per day is calculated by dividing the total volume of safe water distributed by the total number of people served and the number of days over which the distribution occurred. Safe Water: Water that meets safety standards for drinking and is free from contaminants that can cause disease. This includes treated water distributed in bottles, tanks, or via pipelines.",,Metrics,Number
33,WASH,WASH in emergencies,SP 3 -Health and wellbeing,Number of people reached with effective water treatment materials and promotion.,"Water treatment materials: Items such as water purification tablets, chlorine, filters, and other materials used to make water safe for drinking. Promotion: Activities aimed at raising awareness and educating the community on the importance of water treatment and safe water practices. This can include distribution of informational materials, community meetings, and media campaigns.",Response/recovery phase.,People,Number
35,WASH,WASH in emergencies,SP 3 -Health and wellbeing,Number of households that received an improved sanitation facility within 50 metres of their home.,"Sanitation facilities: Infrastructure designed for the safe disposal of human excreta, including the following. Flush/pour-flush toilets: Toilets connected to a sewer system, septic tank, or pit latrine. Pit latrines: Simple pits with slabs. Ventilated improved pit (VIP) Latrines: Enhanced pit latrines with ventilation to reduce odors and flies. Composting toilets: Toilets that treat human excreta through aerobic decomposition. Other types of sanitation facilities: Any other facilities designed for the hygienic separation of human excreta from human contact.",Response/recovery phase. Male/female,Households,Number
36,WASH,WASH in emergencies,SP 3 -Health and wellbeing,Number of sanitation facilities constructed or rehabilitated by RCRC.,"Sanitation facilities: Infrastructure designed for the safe disposal of human excreta, including the following. Flush/pour-flush toilets: Toilets connected to a sewer system, septic tank, or pit latrine. Pit latrines: Simple pits with slabs. Ventilated improved pit (VIP) Latrines: Enhanced pit latrines with ventilation to reduce odors and flies. Composting toilets: Toilets that treat human excreta through aerobic decomposition. Other types of sanitation facilities: Any other facilities designed for the hygienic separation of human excreta from human contact.","Male/female, household/communal",Metrics,Number
38,WASH,WASH in emergencies,SP 3 -Health and wellbeing,Number of female sanitation facilities suitable for managing menstruation and for disposing of menstrual hygiene materials constructed or rehabilitated by RCRC.,"Female sanitation facilities: Sanitation facilities that are designated for female use and provide privacy, safety, and hygiene. Suitable for managing menstruation: Facilities that include provisions for managing menstruation such as access to water, private washing areas, and adequate space for changing sanitary products. Disposal of menstrual hygiene materials: Facilities that include bins or disposal units for sanitary products, ensuring hygienic and environmentally safe disposal. Rehabilitated: Existing facilities upgraded or repaired to include menstrual hygiene management features.",,Metrics,Number
42,WASH,WASH in emergencies,SP 3 -Health and wellbeing,Households served by environmental sanitation activities carried out by RCRC.,"Environmental sanitation activities: Actions aimed at improving the sanitary conditions of households, including the following. Waste management: Collection, disposal, and recycling of solid waste. Drainage improvement: Construction and maintenance of drainage systems to prevent waterlogging and reduce the risk of waterborne diseases. Vector control: Measures to control or eliminate vectors such as mosquitoes, flies, and rodents. Community clean-up campaigns: Organized efforts to clean public spaces, promote hygiene, and educate the community on proper sanitation practices.",Response/recovery phase.,Households,Percentage
45,"Cash and voucher assistance
Food security and livelihoods","Unconditional cash
Livelihoods",SP 2- Disasters and crises ,"Percentage of households who report being able to meet the basic needs of their households, according to their priorities (minimum expenditure basket).","Numerator: number of households reporting that they are able to meet their basic needs according to their priorities. Denominator: total number of households surveyed. This indicator measures the proportion of households that report being able to meet their basic needs based on their own priorities, as defined by a minimum expenditure basket (MEB). The MEB represents the cost of a set of essential goods and services required by a household to cover their basic needs.",,Households,Percentage
46,"Cash and voucher assistance
Food security and livelihoods","Unconditional cash
Livelihoods",SP 2- Disasters and crises ,Percentage of households provided with CVA assistance that have not sold any livelihood assets as a coping strategy.,"Numerator: number of households that have received CVA assistance and have not sold any assets or property. Denominator: total number of households that received CVA assistance. Calculate households by dividing number of people by average number of beneficiaries per household (from census/DHS). Calculate people by multiplying number of households by average number of beneficiaries per household (from census/DHS). Ideally measured in the period of CVA support and the equivalent period length prior to CVA support. This indicator measures the proportion of households that received cash and voucher assistance (CVA) and have not resorted to selling any of their assets or property to meet their basic needs. It reflects the effectiveness of CVA in stabilizing households and preventing negative coping mechanisms. Ideally measured in the period of CVA support and the equivalent period length prior to CVA support. ‘Livelihood assets’ are ‘productive’: physical/material things that increase the household’s labour productivity and production, thereby enabling it to increase its income and food security over time (e.g. agricultural land, tools and equipment, dairy and draft animals, rental properties) and ‘protective’: include physical, financial, and social assets that can readily be converted into cash or goods in time of need (e.g. cash on hand, cash saved in formal or informal institutions, assets held as store of value (such as livestock, jewelry, seed or grain, land, property), moveable household assets (such as TVs, radios, furniture, clothing), social capital. ‘Coping strategy’ refers to actions taken by the household when they do not have enough food or enough money to buy food.",,Households,Number
80,WASH,WASH in emergencies,SP 3 -Health and wellbeing,Number of people provided by RCRC with handwashing facilities.,"Handwashing facilities: Structures or areas specifically designated and equipped for handwashing. These facilities may include the following. Public handwashing stations set up in communal areas, handwashing units installed in schools, health centres, or shelters, household handwashing facilities provided to individual families. Constructed facilities: New handwashing stations or units built from the ground up to provide access to hand hygiene. Rehabilitated Facilities: Existing handwashing stations or units that are repaired, upgraded, or otherwise improved to restore or enhance functionality.",Response/recovery phase. SAD,People,Number
81,WASH,WASH in emergencies,SP 3 -Health and wellbeing,Number of people provided by RCRC with bathing facilities.,Bathing Facilities: Structures or areas specifically designated and equipped for bathing. These may include the following. Temporary or permanent bathing units set up in emergency shelters or camps. Rehabilitated or newly constructed public bathhouses. Mobile bathing units deployed to affected areas.,Response/recovery phase. SAD,People,Number
82,WASH,WASH in emergencies,SP 3 -Health and wellbeing,Number of handwashing facilities constructed or rehabilitated.,"Handwashing facilities: Structures or areas specifically designated and equipped for handwashing. These facilities may include the following. Public handwashing stations set up in communal areas, handwashing units installed in schools, health centres, or shelters, household handwashing facilities provided to individual families. Constructed facilities: New handwashing stations or units built from the ground up to provide access to hand hygiene. Rehabilitated Facilities: Existing handwashing stations or units that are repaired, upgraded, or otherwise improved to restore or enhance functionality.",Response/recovery phase. Male/female.,Metrics,Number
86,WASH,WASH in emergencies,SP 3 -Health and wellbeing,Number of female bathing facilities suitable for managing menstruation and for disposing of menstrual hygiene materials constructed by RCRC.,Female bathing facilities: Bathing facilities that are specifically designed for use by females and include features to support menstrual hygiene management. These features may include the following. Private and secure areas to ensure privacy and dignity. Adequate lighting and ventilation. Access to water and soap for washing. Disposal bins or incinerators for sanitary disposal of menstrual hygiene materials. Shelves or hooks for storing personal items.,Response/recovery phase.,Metrics,Number
100,"Education
Health
PGI","Education
MHPSS
PGI","SP 5 - Values, power and inclusion","Number of (temporary) safe spaces established or operated by RCRC for the purpose of learning, psychosocial support or recreation.","“(Temporary) safe spaces” include, but are not limited to, child-friendly spaces and transitional learning spaces. These are designated areas created or managed by RCRC that provide a secure and supportive environment. They can be set up in various locations such as community centers, tents, schools, or other structures, often in response to crises where regular facilities are unavailable or unsafe.",,Metrics,Number
101,"Education
Health
PGI","Education
MHPSS
PGI","SP 5 - Values, power and inclusion","Number of people with access to (temporary) safe spaces established or operated by RCRC for the purpose of learning, psychosocial support or recreation.","“(Temporary) safe spaces” include, but are not limited to, child-friendly spaces and transitional learning spaces. These are designated areas created or managed by RCRC that provide a secure and supportive environment. They can be set up in various locations such as community centers, tents, schools, or other structures, often in response to crises where regular facilities are unavailable or unsafe.",SAD,People,Number
